"Label","Description","Units (preferred) or format","Category","Used In"
"RECO_DT_CUT_05","Ecosystem Respiration, from Daytime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_CUT_16","Ecosystem Respiration, from Daytime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_CUT_25","Ecosystem Respiration, from Daytime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_CUT_50","Ecosystem Respiration, from Daytime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_CUT_75","Ecosystem Respiration, from Daytime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_CUT_86","Ecosystem Respiration, from Daytime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_CUT_95","Ecosystem Respiration, from Daytime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_MEAN","Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version. average from 40 half-hourly RECO_DT_VUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_REF","Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_DT_VUT_XX) / SQRT(40)). SE from 40 half-hourly RECO_DT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_USTAR50","Ecosystem Respiration, from Daytime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_05","Ecosystem Respiration, from Daytime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_16","Ecosystem Respiration, from Daytime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_25","Ecosystem Respiration, from Daytime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_50","Ecosystem Respiration, from Daytime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_75","Ecosystem Respiration, from Daytime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_86","Ecosystem Respiration, from Daytime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_DT_VUT_95","Ecosystem Respiration, from Daytime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_MEAN","Ecosystem Respiration, from Nighttime partitioning method, average from RECO versions, each from corresponding NEE_CUT_XX version. average from 40 half-hourly RECO_NT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_REF","Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_NT_CUT_XX) / SQRT(40)). SE from 40 half-hourly RECO_NT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_USTAR50","Ecosystem Respiration, from Nighttime partitioning method, based on NEE_CUT_USTAR50","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_05","Ecosystem Respiration, from Nighttime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_16","Ecosystem Respiration, from Nighttime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_25","Ecosystem Respiration, from Nighttime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_50","Ecosystem Respiration, from Nighttime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_75","Ecosystem Respiration, from Nighttime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_86","Ecosystem Respiration, from Nighttime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_CUT_95","Ecosystem Respiration, from Nighttime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_MEAN","Ecosystem Respiration, from Nighttime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version. average from 40 half-hourly RECO_NT_VUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_REF","Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_NT_VUT_XX) / SQRT(40)). SE from 40 half-hourly RECO_NT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_USTAR50","Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_05","Ecosystem Respiration, from Nighttime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_16","Ecosystem Respiration, from Nighttime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_25","Ecosystem Respiration, from Nighttime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_50","Ecosystem Respiration, from Nighttime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_75","Ecosystem Respiration, from Nighttime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_86","Ecosystem Respiration, from Nighttime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RECO_NT_VUT_95","Ecosystem Respiration, from Nighttime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"RH","Relative humidity, range 0-100","%","FLUXNET VARIABLES","ICOS"
"SW_DIF","Shortwave radiation, diffuse incoming","W m-2","FLUXNET VARIABLES","ICOS"
"SW_IN_ERA","Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero)","W m-2","FLUXNET VARIABLES","ICOS"
"SW_IN_F","Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero). SW_IN_F_MDS used if SW_IN_F_MDS_QC is 0 or 1","W m-2","FLUXNET VARIABLES","ICOS"
"SW_IN_F_MDS","Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise)","W m-2","FLUXNET VARIABLES","ICOS"
"SW_IN_F_MDS_QC","Quality flag for SW_IN_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"SW_IN_F_QC","Quality flag for SW_IN_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","FLUXNET VARIABLES","ICOS"
"SW_IN_POT","Shortwave radiation, incoming, potential (top of atmosphere)","W m-2","FLUXNET VARIABLES","ICOS"
"SW_OUT","Shortwave radiation, outgoing","W m-2","FLUXNET VARIABLES","ICOS"
"SWC_F_MDS_#","Soil water content, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest)","%","FLUXNET VARIABLES","ICOS"
"SWC_F_MDS_#_QC","Quality flag for SWC_F_MDS_#. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"TA_ERA","Air temperature, downscaled from ERA, linearly regressed using measured only site data","deg C","FLUXNET VARIABLES","ICOS"
"TA_F","Air temperature, consolidated from TA_F_MDS and TA_ERA. TA_F_MDS used if TA_F_MDS_QC is 0 or 1","deg C","FLUXNET VARIABLES","ICOS"
"TA_F_MDS","Air temperature, gapfilled using MDS method","deg C","FLUXNET VARIABLES","ICOS"
"TA_F_MDS_QC","Quality flag for TA_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"TA_F_QC","Quality flag for TA_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","FLUXNET VARIABLES","ICOS"
"TS_F_MDS_#","Soil temperature, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest)","deg C","FLUXNET VARIABLES","ICOS"
"TS_F_MDS_#_QC","Quality flag for TS_F_MDS_#. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"USTAR","Friction velocity","m s-1","FLUXNET VARIABLES","ICOS"
"VPD_ERA","Vapor Pressure Deficit, downscaled from ERA, linearly regressed using measured only site data","hPa","FLUXNET VARIABLES","ICOS"
"VPD_F","Vapor Pressure Deficit consolidated from VPD_F_MDS and VPD_ERA. VPD_F_MDS used if VPD_F_MDS_QC is 0 or 1","hPa","FLUXNET VARIABLES","ICOS"
"VPD_F_MDS","Vapor Pressure Deficit, gapfilled using MDS","hPa","FLUXNET VARIABLES","ICOS"
"VPD_F_MDS_QC","Quality flag for VPD_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"VPD_F_QC","Quality flag for VPD_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","FLUXNET VARIABLES","ICOS"
"WD","Wind direction","Decimal degrees","FLUXNET VARIABLES","ICOS"
"WS","Wind speed","m s-1","FLUXNET VARIABLES","ICOS"
"WS_ERA","Wind speed, downscaled from ERA, linearly regressed using measured only site data","m s-1","FLUXNET VARIABLES","ICOS"
"WS_F","Wind speed, consolidated from WS and WS_ERA. WS used if measured","m s-1","FLUXNET VARIABLES","ICOS"
"WS_F_QC","Quality flag of WS_F. 0 = measured; 2 = downscaled from ERA","nondimensional","FLUXNET VARIABLES","ICOS"
"CO2_ABSLIM_NREX","Total number of CO2 readings exceeding its absolute limits","nondimensional","AUXDATA VARIABLES","ICOS"
"CO2_DIAG_NREX","Total number of records flagged for a bad gas analyser diagnostic for CO2","nondimensional","AUXDATA VARIABLES","ICOS"
"CO2_NUM_SPIKES","Total number of spikes detected and eliminated for CO2 (1 spike is intended here as less than 3 consecutive bad readings)","nondimensional","AUXDATA VARIABLES","ICOS"
"CO2_SPIKE_NREX","Total number of single spikes for CO2 (1 spike is intended here as 1 record)","nondimensional","AUXDATA VARIABLES","ICOS"
"H2O_ABSLIM_NREX","Total number of H2O readings exceeding its absolute limits","nondimensional","AUXDATA VARIABLES","ICOS"
"H2O_DIAG_NREX","Total number of records flagged for a bad gas analyser diagnostic for H2O","nondimensional","AUXDATA VARIABLES","ICOS"
"H2O_NUM_SPIKES","Total number of spikes detected and eliminated for H2O (1 spike is intended here as less than 3 consecutive bad readings)","nondimensional","AUXDATA VARIABLES","ICOS"
"H2O_SPIKE_NREX","Total number of single spikes for H2O (1 spike is intended here as 1 record)","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_AGC_OR_RSSI","Average signal strength for the LI-7200 gas analyzer","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_AUX_IN","Total number of records flagged for a bad internal reference voltages gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_CHOPPER","Total number of records flagged for a bad chopper wheel temperature gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_CO2_STR_LW","Lower whisker of the CO2 signal strength for the gas analyzer (calculated as max(min(x), Q1 - 1.5 * IQR), where Q1 is the first quartile and IQR)","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_CO2_STR_NUM_20","Total number of CO2 signal strength data points which lie below 20%","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_CO2_STR_NUM_OUT","Total number of any data points which lie beyond the extremes of the CO2 signal strength whiskers","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_CO2_STR_P50","Second quartile (median) of the volume CO2 signal strength for the gas analyzer","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_CO2_STR_UW","Upper whisker of the CO2 signal strength for the gas analyzer (calculated as min(max(x), Q3 - 1.5 * IQR), where Q3 is the third quartile and IQR is the interquartile range)","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_DELTA_P","Total number of records flagged for a bad differential pressure sensor gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_DELTA_T","Total number of times the difference between inlet and outlet temperatures is more than 3 degC","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_DETECTOR","Total number of records flagged for a bad detector temperature in relation to the setpoint gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_PUMPDRIVE_MAX","Maximum of the flow drive input to the pump of gas analyzer sampling line","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_PUMPDRIVE_MIN","Minimum of the flow drive input to the pump of gas analyzer sampling line","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_PUMPDRIVE_P05","Fifth percentile of the flow drive input to the pump of gas analyzer sampling line","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_PUMPDRIVE_P50","Second quartile (median) of the flow drive input to the pump of gas analyzer sampling line","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_PUMPDRIVE_P95","NInety-fifth percentile of the flow drive input to the pump of gas analyzer sampling line","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_VOLRATE_MAX","Maximum of the volume flow rate in the gas analyzer sampling line","liters min-1","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_VOLRATE_MIN","Minimum of the volume flow rate in the gas analyzer sampling line","liters min-1","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_VOLRATE_P05","Fifth percentile of the volume flow rate in the gas analyzer sampling line","liters min-1","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_VOLRATE_P50","Second quartile (median) of the volume flow rate in the gas analyzer sampling line","liters min-1","AUXDATA VARIABLES","ICOS"
"INST_LI7200_FLOW_VOLRATE_P95","Ninety-fifth percentile of the volume flow rate in the gas analyzer sampling line","liters min-1","AUXDATA VARIABLES","ICOS"
"INST_LI7200_H2O_STR_LW","Lower whisker of the H2O signal strength for the gas analyzer (calculated as max(min(x), Q1 - 1.5 * IQR), where Q1 is the first quartile and IQR)","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_H2O_STR_NUM_20","Total number of H2O signal strength data points which lie below 20%","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_H2O_STR_NUM_OUT","Total number of any data points which lie beyond the extremes of the H2O signal strength whiskers","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_H2O_STR_P50","Second quartile (median) of the volume H2O signal strength for the gas analyzer","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_H2O_STR_UW","Upper whisker of the H2O signal strength for the gas analyzer (calculated as min(max(x), Q3 - 1.5 * IQR), where Q3 is the third quartile and IQR is the interquartile range)","%","AUXDATA VARIABLES","ICOS"
"INST_LI7200_HEAD_DETECT","Total number of records flagged for a bad sensor head attached gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_PLL","Total number of records flagged for a bad phase lock loop gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_SYNC","Total number of records flagged for a bad sync gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_GA_LW","Lower whisker of the gas analyzer temperature (calculated as max(min(x), Q1 - 1.5 * IQR), where Q1 is the first quartile and IQR)","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_GA_NUM_OUT","Total number of any data points which lie beyond the extremes of the gas analyzer temperature whiskers","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_GA_P25","First quartile of the gas analyzer temperature","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_GA_P50","Second quartile (median) of the gas analyzer temperature","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_GA_P75","Third quartile of the gas analyzer inlet thermocouple temperature","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_GA_UW","Upper whisker of the gas analyzer temperature (calculated as min(max(x), Q3 - 1.5 * IQR), where Q3 is the third quartile and IQR is the interquartile range)","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN","Total number of records flagged for a bad inlet thermocouple gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN_DIFF","Total number of times the inlet temperature differential is more than 0.5 degC","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN_LW","Lower whisker of the gas analyzer inlet thermocouple temperature data (calculated as max(min(x), Q1 - 1.5 * IQR), where Q1 is the first quartile and IQR)","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN_NUM_OUT","Total number of any data points which lie beyond the extremes of the gas analyzer inlet thermocouple temperature whiskers","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN_P25","First quartile of the gas analyzer inlet thermocouple temperature data","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN_P50","Second quartile (median) of the gas analyzer inlet thermocouple temperature data","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN_P75","Third quartile of the gas analyzer inlet thermocouple temperature data","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_IN_UW","Upper whisker of the gas analyzer inlet thermocouple temperature data (calculated as min(max(x), Q3 - 1.5 * IQR), where Q3 is the third quartile and IQR is the interquartile range)","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT","Total number of records flagged for a bad outlet thermocouple gas analyzer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT_DIFF","Total number of times the outlet temperature differential is more than 0.5 degC","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT_LW","Lower whisker of the gas analyzer outlet thermocouple temperature data (calculated as max(min(x), Q1 - 1.5 * IQR), where Q1 is the first quartile and IQR)","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT_NUM_OUT","Total number of any data points which lie beyond the extremes of the gas analyzer outlet thermocouple temperature whiskers","nondimensional","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT_P25","First quartile of the gas analyzer outlet thermocouple temperature data","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT_P50","Second quartile (median) of the gas analyzer outlet thermocouple temperature data","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT_P75","Third quartile of the gas analyzer outlet thermocouple temperature data","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_T_OUT_UW","Upper whisker of the gas analyzer outlet thermocouple temperature data (calculated as min(max(x), Q3 - 1.5 * IQR), where Q3 is the third quartile and IQR is the interquartile range)","deg C","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_MAX","Maximum of the Watts provided to the gas analyzer tube for heating","W","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_MIN","Minimum of the Watts provided to the gas analyzer tube for heating","W","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_P05","Fifth percentile of the Watts provided to the gas analyzer tube for heating","W","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_P50","Second quartile (median) of the Watts provided to the gas analyzer tube for heating","W","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_P95","Ninety-fifth percentile of the Watts provided to the gas analyzer tube for heating","W","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_V_MAX","Maximum of the volts provided to the gas analyzer tube for heating","V","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_V_MIN","Minimum of the volts provided to the gas analyzer tube for heating","V","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_V_P05","Fifth percentile of the volts provided to the gas analyzer tube for heating","V","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_V_P50","Second quartile (median) of the volts provided to the gas analyzer tube for heating","V","AUXDATA VARIABLES","ICOS"
"INST_LI7200_TUBE_HEAT_V_P95","Ninety-fifth percentile  of the volts provided to the gas analyzer tube for heating","V","AUXDATA VARIABLES","ICOS"
"INTS_HS_DIAG_NREX","Total number of records flagged for a bad sonic anemometer diagnostic","nondimensional","AUXDATA VARIABLES","ICOS"
"INTS_HS_DIAG_NVM_FAIL","Flag for errors with the non-volatile memory in the half-hour: 1 yes, 0 no, regardless of when it occurred","nondimensional","AUXDATA VARIABLES","ICOS"
"INTS_HS_DIAG_PRT_FAIL","Flag for errors with the PRT temperature sensor in the half-hour: 1 yes, 0 no, regardless of when it occurred","nondimensional","AUXDATA VARIABLES","ICOS"
"INTS_HS_DIAG_T1_FAIL","Half-hour fraction (as percentage of 30 minutes) in which the transducer pair 1 failed","%","AUXDATA VARIABLES","ICOS"
"INTS_HS_DIAG_T2_FAIL","Half-hour fraction (as percentage of 30 minutes) in which the transducer pair 2 failed","%","AUXDATA VARIABLES","ICOS"
"INTS_HS_DIAG_T3_FAIL","Half-hour fraction (as percentage of 30 minutes) in which the transducer pair 3 failed","%","AUXDATA VARIABLES","ICOS"
"INTS_HS_HEAT_ON","Switch-on time (as percentage of the half-hour) of the sonic anemometer heating","%","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_V_P01","First percentile of the anemometer tilt angles as measured by the inclinometer along the vertical plane","degrees","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_V_P50","Second quartile (median) of the anemometer tilt angles as measured by the inclinometer along the vertical plane","degrees","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_V_P99","Ninety-ninth percentile of the anemometer tilt angles as measured by the inclinometer along the vertical plane","degrees","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_V_MAD","Median absolute deviation (median of the absolute deviations from the median) of the anemometer tilt angles as measured by the inclinometer along the vertical plane","degrees","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_H_P01","First percentile of the anemometer tilt angles as measured by the inclinometer along the horizontal plane","degrees","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_H_P50","Second quartile (median) of the anemometer tilt angles as measured by the inclinometer along the horizontal plane","degrees","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_H_P99","Ninety-ninth percentile of the anemometer tilt angles as measured by the inclinometer along the horizontal plane","degrees","AUXDATA VARIABLES","ICOS"
"INST_HS_INCL_H_MAD","Median absolute deviation (median of the absolute deviations from the median) of the anemometer tilt angles as measured by the inclinometer along the horizontal plane","degrees","AUXDATA VARIABLES","ICOS"
"T_SONIC_ABSLIM_NREX","Total number of T_SONIC readings exceeding its absolute limits","nondimensional","AUXDATA VARIABLES","ICOS"
"T_SONIC_NUM_SPIKES","Total number of spikes detected and eliminated for T_SONIC (1 spike is intended here as less than 3 consecutive bad readings)","nondimensional","AUXDATA VARIABLES","ICOS"
"T_SONIC_SPIKE_NREX","Total number of single spikes for T_SONIC (1 spike is intended here as 1 record)","nondimensional","AUXDATA VARIABLES","ICOS"
"U_ABSLIM_NREX","Total number of U readings exceeding its absolute limits","nondimensional","AUXDATA VARIABLES","ICOS"
"U_NUM_SPIKES","Total number of spikes detected and eliminated for U (1 spike is intended here as less than 3 consecutive bad readings)","nondimensional","AUXDATA VARIABLES","ICOS"
"U_SPIKE_NREX","Total number of single spikes for U (1 spike is intended here as 1 record)","nondimensional","AUXDATA VARIABLES","ICOS"
"V_ABSLIM_NREX","Total number of V readings exceeding its absolute limits","nondimensional","AUXDATA VARIABLES","ICOS"
"V_NUM_SPIKES","Total number of spikes detected and eliminated for V (1 spike is intended here as less than 3 consecutive bad readings)","nondimensional","AUXDATA VARIABLES","ICOS"
"V_SPIKE_NREX","Total number of single spikes for V (1 spike is intended here as 1 record)","nondimensional","AUXDATA VARIABLES","ICOS"
"W_ABSLIM_NREX","Total number of W readings exceeding its absolute limits","nondimensional","AUXDATA VARIABLES","ICOS"
"W_NUM_SPIKES","Total number of spikes detected and eliminated for W (1 spike is intended here as less than 3 consecutive bad readings)","nondimensional","AUXDATA VARIABLES","ICOS"
"W_SPIKE_NREX","Total number of single spikes for W (1 spike is intended here as 1 record)","nondimensional","AUXDATA VARIABLES","ICOS"
"TIMESTAMP_START","ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution)","yyyymmddHHMM","FLUXES VARIABLES","ICOS"
"TIMESTAMP_END","ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution)","yyyymmddHHMM","FLUXES VARIABLES","ICOS"
"CO2","Carbon Dioxide (CO2) in mole fraction of wet air","µmolCO2 mol-1","FLUXES VARIABLES","ICOS"
"CO2_AL1_FLAG","Flag for the autocorrelation at lag 1 for the X variable (0: negligible evidences of error, IF X_AL1_STAT>0.75; 1: moderate evidences of error, IF 0.5","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_AL1_STAT","Autocorrelation at lag 1 for the X variable. Formerly (Rflux version < 3.2.0) named *_ACF_*","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_DDI_FLAG","Flag for the X_DDI_STAT (0: negligible evidences of error, IF X_DDI_STAT  hz*60*5, where hz denoting the acquisition frequency)","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_DDI_STAT","Maximum number of binned data points for the X variable (number of bins proportional to the sample size)","integer","FLUXES VARIABLES","ICOS"
"CO2_DIP_FLAG","Flag for the X_DIP_STAT (0: negligible evidences of error, IF X_DIP_STAT>0.1; 1: moderate evidences of error, IF 0.05","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_DIP_STAT","P-value of the Hartigans’ Dip Test for Unimodality","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_DRY","Carbon Dioxide (CO2) in mole fraction of dry air","µmolCO2 mol-1","FLUXES VARIABLES","ICOS"
